keys,en,es,ru,el,fr,tr,ja,de,ga,uk,vi,sk,it
STATUE_PIECE_HEAD,Grab Head piece,Coger la pieza de la cabeza,Взять Часть Головы,Πιάσε το κομμάτι του κεφαλιού,Saisir la pièce de tête,Heykelin kafa parçasını al,ヘッドピースをつかむ,Kopfteil greifen,Greamaigh Píosa Ceann,Взяти Частину Голови,Nhặt mảnh đầu,Zobrať Hlavu Sochy,Afferra il pezzo della testa
STATUE_PIECE_BASE,Grab Base piece,Coger la pieza de la base,Взять Часть Основы,Πιάσε το κομμάτι της βάσης,Saisir la pièce de base,Heykelin taban parçasını al,ベースパーツをつかむ,Sockelteil greifen,Greamaigh Píosa Bonn,Взяти Платформу,Nhặt mảnh đế,Zobrať Základ Sochy,Afferra il pezzo della base
STATUE_PIECE_ARM,Grab Arm piece,Coger la pieza del brazo,Взять Часть Руки,Πιάσε το κομμάτι του χεριού,Saisir la pièce de bras,Heykelin kol parçasını al ,アームピースをつかむ,Armteil greifen,Greamaigh Píosa Gairde,Взяти Частину Руки,Nhặt mảnh tay,Zobrať Ruku Sochy,Afferra il pezzo del braccio
STATUE_PROMPT,Insert,Adjuntar,Прикрепить,Εισαγωγή,Assembler ,Ekle,はめ込む,Anstecken,Cuir isteach,Прикріпити,Lắp vào,Nasadiť,Inserisci
STONE,Grab Stone,Coger piedra,Взять Камень,Πιάσε πέτρα,Saisir la pierre,Taşı al ,石をつかむ,Stein greifen,Greamaigh Carraig ,Камінь,Nắm lấy cục đá,Zobrať Skalu,Afferra il sasso
SAVE,Hold to save,Mantén pulsado para guardar,Удерживать для сохранения,Κράτα για να σώσεις,Maintenir pour sauvegarder,Kaydetmek için basılı tut,長押しして保存,"Halten, um zu speichern",Coinnigh chun sábháil,Утримуйте щоб зберегти,"Lưu trò chơi
",Podrž na uloženie,Tieni premuto per salvare
PULL_CHAIN,Pull chain,Cadena de accionamiento,Тянуть Цепь,Τράβηξε αλυσίδα,Tirer la chaîne,Zinciri çek,鎖を引く,Kette ziehen,Tarraing an slabhra,Тягнути ланцюг,Kéo xích,Potiahnúť reťaz,Tira la catena
UNLOCK_DOOR,Unlock door,abrir la puerta,Открыть Дверь,Ξεκλείδωσε πόρτα,Déverrouiller la porte,Kapıyı aç,扉を開ける/ドアを開ける,Tür entriegeln,Díghlasáil an doras,Відкрити двері,Mở khóa cửa,Odomknúť dvere,Sblocca la porta
TORCH_SCONCE,Light sconce,Encender el aplique,Зажечь бра,Άναψε απλίκα,Allumez l'applique ,Meşaleyi yak,火を灯す,Wandleuchte anzünden,Las an scóns,Запалити світильник,Thắp đèn tường,Zapáliť Svietnik,Accendi la fiaccola
START_GAME,Start Game,Empezar el juego,Начать Игру,Ξεκίνα παιχνίδι,démarrer le jeu,Oyuna başla,ゲーム開始,Spiel starten,Cuir Tús leis an gCluiche,Почати гру,Bắt đầu trò chơi,Začať Hru,Inizia partita
LOAD_GAME,Load Game,Cargar partida ,Загрузить Игру,Φόρτωσε παιχνίδι,Charger le jeu,Oyunu yükle,ゲームを読み込む,Spiel laden,Luchtaigh an Cluiche,Завантажити гру,Tải trò chơi,Načitaj Hru,Carica partita
DEV_ROOM,Dev Room,Sala de desarrollo,Комната Разработчиков ,Δωμάτιο προγραμματιστών,Salle des développeurs ,Geliştirme odası,開発ルーム,Entwicklerraum,Seomra Forbartha,Розробницька кімната,Phòng phát triển,Vývojarska Miestnosť,Stanza degli Sviluppatori
OPTIONS,Options,Configuración,Настройки,Επιλογές,Paramètres ,Ayarlar,設定,Einstellungen,Roghanna,Параметри,Tùy chọn,Možnosti,Opzioni
EXIT,Exit,Salir,Выход,Έξοδος,Quitter,Çıkış ,終了,Beenden,Scoir,Вихід,Thoát,Ukončiť,Esci
AUDIO,Audio,Audio,Аудио,Ήχος,Audio,Ses,音声,Audio,Fuaim,Аудіо,Âm thanh,Zvuk,Audio
CONTROLS,Controls,Controles,Управление,Χειριστήρια,Commandes,Kontrol,操作方法,Steuerung,Rialuithe,Керування,Điều khiển,Ovládanie,Comandi
VIDEO,Video,Video,Видио,Βίντεο,Vidéo,Video,映像,Video,Físeán,Відео,Video,Video,Video
Master,Master Volume,Volumen principal,Общий Звук,Γενική ένταση,Volume principal,Ana ses,マスターボリューム,Gesamtlautstärke,Máistir-Láidir,Загальна гучність,Âm lượng chính,Hlavná Hlasitosť,Volume generale
SFX,Sound Effects Volume,Volumen de los efectos de sonido ,Звуковые Эффекты,Ένταση ηχητικών εφέ,Volume des effets sonores,Effekt Sesleri,効果音の音量,Lautstärke der Soundeffekte,Láidir na nÉifeachtaí Fuaime,Гучність ефектів,Âm lượng hiệu ứng,Hlasitosť Effektov,Volume effetti sonori
MUSIC,Music Volume,Volumen de la música,Музыка,Ένταση μουσικής,Volume de la musique,Müzik,音楽の音量,Musiklautstärke,Láidir an Cheoil,Гучність музики,Âm lượng nhạc,Hlasitosť Hudby,Volume musica
AMBIENT,Ambient Volume,Volumen ambiental,Звук Окружения,Ένταση περιβάλλοντος,Volume ambiant,Ortam sesleri,環境の音量,Umgebungslautstärke,Láidir na Timpeallachta,Гучність довкілля,Âm lượng nền,Hlasitosť Prostredia,Volume rumori ambientali
MUTE,Mute,Silenciar,Заглушить ,Σίγαση,Couper le son,Sesi kapat,ミュート,Stummschalten,Múchtán,Вимкнути звук ,Tắt tiếng,Utlmiť,Muta
FULLSCREEN,Fullscreen,Pantalla completa,Полный Экран,Πλήρης οθόνη,Plein écran,Tam ekran,全画面表示,Vollbild,Lánscáileán,Повний екран,Toàn màn hình,Celá Obrazovka,Schermo intero
RESOLUTION,Resolution,Resolución,Разрешение,Ανάλυση,Résolution,Çözünürlük,解像度,Auflösung,Taifeach,Резолюція,Độ phân giải,Rozlíšenie,Risoluzione
ANTI_ALIASING,Anti-Aliasing,Suavizado,Сглаживание,Αντι-αλλοιωτικό,Anticrénelage,Görüntü yumuşatma,アンチエイリアシング,Anti-Aliasing,Frith-Aliasing,Згладжування,Khử răng cưa,Vyhladzovanie,Anti-aliasing
EXPEREMENTAL_HANDS,Experemental Hands Lighting,Iluminación experimental con las manos,Экспериментальное освещение рук,Πειραματικός φωτισμός χεριών,Éclairage expérimental,Deneysel El Işıkları,手のライティング,Experimentelle Handbeleuchtung,soilsiú lámha turgnamhach,Експериментальне освітлення рук,Ánh sáng tay thử nghiệm,Experimentálne osvetlenie rúk,Illuminazione sperimentale delle mani
GRAB_LEFT,Grab Left,Toma a la izquierda,Взять Левой,Πιάσε αριστερά,Saisir avec la main gauche,Sol elle tut,左手でつかむ,Links greifen,Greamaigh Ar Chlé,Взяти(Л),Nắm bên trái,Zobrať Ľavou,Afferra con la sinistra
GRAB_RIGHT,Grab Right,Toma la derecha,Взять Правой,Πιάσε δεξιά,Saisir avec la main droite,Sağ elle tut,右手でつかむ,Rechts greifen,Greamaigh Ar Dheis,Взяти(П),Nắm bên phải,Zobrať Pravou,Afferra con la destra
TURN_LEFT,Turn Left,Gira a la izquierda,Поворот Налево,Στρίψε αριστερά,Tourner à gauche,Sola dön,左を向く,Nach links drehen,Cas Ar Chlé,Поверніть ліворуч,Quay trái,Otočiť Doporava,Gira a sinistra
TURN_RIGHT,Turn Right,Gira a la derecha,Поворот Направо,Στρίψε δεξιά,Tourner à droite,Sağa dön,右を向く,Nach rechts drehen,Cas Ar Dheis,Поверніть праворуч,Quay phải,Otočiť Doľava,Gira a destra
LEFT_HAND,Left Hand,Mano izquierda,Левая Рука,Αριστερό χέρι,Main gauche,Sol el,左手,Linke Hand,An Lámh Chlé,Ліва рука,Tay trái,Ľavá ruka,Mano sinistra
RIGHT_HAND,Right Hand,Mano derecha,Правая Рука,Δεξί χέρι,Main droite,Sağ el,右手,Rechte Hand,An Lámh Dheas,Права рука,Tay phải,Pravá ruka,Mano destra
WALKING,Walking,Locomoción,Передвижение,Περπάτημα,locomotion,Yürüme,移動,Gehen,Ag Siúl,Ходьба,Đi bộ,Kráčať,Camminare
USE_LEFT,Use Left Hand Item,Utiliza el elemento de la izquierda,Применить в Левой Руке,Χρήση αντικειμένου αριστερού χεριού,Utiliser l’objet tenu dans la main gauche,Sol elindeki nesneyi kullan,左手アイテムを使う,Gegenstand mit der linken Hand benutzen,Úsáid Mír na Láimhe Cíche,Використовувати предмет (Л),Sử dụng vật phẩm tay trái,Použiť predmet v ľavej ruke,Usa oggetto con mano sinistra
USE_RIGHT,Use Right Hand Item,Utiliza el elemento de la derecha,Применить в Правой Руке,Χρήση αντικειμένου δεξιού χεριού,Utiliser l’objet tenu dans la main droite,Sağ elindeki nesneyi kullan,右手アイテムを使う,Gegenstand mit der rechten Hand benutzen,Úsáid Mír na Láimhe Deise,Використовувати предмет (П),Sử dụng vật phẩm tay phải,Použiť predmet v pravej ruke,Usa oggetto con mano destra
CROUCH,Crouch,Agacharse,Присесть,Καθίσματα,S’accroupir,Eğil,しゃがむ,Ducken,Crúb,Присісти,Cúi xuống,Prikrčiť sa,Accovacciarsi
RELOAD_LAST_SAVE,Reload Last Save,Recargar la última partida guardada,Загрузить Сохранение,Επαναφόρτωση τελευταίας αποθήκευσης,Charger la dernière sauvegarde,Son kaydı yükle,最後のセーブをロード,Letzten Speicherstand laden,Athlódáil an tSábháil Dheireanach,Завантажити останнє збереження,Tải lại bản lưu gần nhất,"Načítať poslednú uloženú hru
",Ricarica ultimo salvataggio
RESTART_LEVEL,Restart Level,Nivel de reinicio,Начать Заново,Επανεκκίνηση επιπέδου,Redémarrer le niveau,Bölümü yeniden başlat,レベルをやり直す,Level neu starten,Atosaigh an Leibhéal,Повернутися до початку рівня,Khởi động lại cấp độ,Reštartovať Úroveň,Riavvia livello
EXIT_TO_MENU,Exit To Menu,Volver al menú,Выйти в Меню,Έξοδος στο μενού,Retourner au menu principal,Menüye dön,メニューに戻る,Zum Menü zurückkehren,Sulaigh Amach go dtí an Roghchlár,Вийти до меню,Thoát về menu,Vrátiť sa do Menu,Torna al menu
BACK,Back,Atrás,Назад,Πίσω,Retour,Geri dön,戻る,Zurück,Ar Ais,Назад,Quay lại,Späť,Indietro
CONFIRM,Confirm,Confirmar,Подтвердить,Επιβεβαίωση,Confirmer,Onayla,決定,Bestätigen,Dearbhaigh,Підтвердити,Xác nhận,Potvrdiť,Conferma
CREDITS,Credits,Créditos,Титры,Πιστώσεις,Générique,Krediler,クレジット,Abspann,Creidiúintí,Подяки,Danh đề,Titulky,Crediti
LANGUAGE,Language,Idioma,Язык,Γλώσσα,Langue,Dil,言語,Sprache,Teanga,Мова,Ngôn ngữ,Jazyk,Lingua
RESUME,Resume,Reanudar,Продолжить,Συνέχιση,Reprendre,Devam Et,履歴書,Fortsetzen,Lean ar Aghaidh,Продовжити,Tiếp tục,Pokračovať,Continua
PAUSED,Paused,Pausado,Пауза,Παύση,En pause,Duraklatıldı,一時停止中,Pausiert,Ar Fionraí,Призупинено,"Đã tạm dừng
",Pozastavené,In pausa
CANCEL,Cancel,Cancelar,Отменить,Ακύρωση,Annuler,Iptal,キャンセル,Abbrechen,Cealaigh,Скасувати,Hủy,Zrušiť,Annulla
PAUSE,Pause,Pausa,Пауза,Παύση,Pause,Duraklat,一時停止,Pause,Fionraigh,Пауза,Tạm dừng,Pozastaviť,Pausa
MENU,Menu,Menú,Меню,Μενού,Menu,Menü,メニュー,Menü,Roghchlár,Меню,Menu,Menu,Menu
EXIT_MAIN_MANU_CONFIRM,Exit to Main Menu?,¿Salir al menú principal?,Выйти в Главное Меню?,Επιστροφή στο κύριο μενού;,Retour au menu principal ?,Ana Menüye dönmek ister misiniz?,メインメニューに戻りますか？,Zum Hauptmenü zurückkehren?,Scoir go dtí an Príomh-Roghchlár?,Вийти до головного меню?,Thoát về menu chính?,Vrátiť sa do Hlavného Menu?,Uscire al menù
CONFIRM_EXIT,Confirm exit,Confirmar salida,Подтвердить Выход,Επιβεβαίωση εξόδου,Confirmer la sortie,Çıkışı onaylayın,終了を確認,Beenden bestätigen,Deimhnigh scoir,Підтвердити вихід,Xác nhận thoát,Potvrdiť odchod,Conferma uscita
RESTART_THE_GAME_CONFIRM,Restart The Level?,¿Reiniciar el nivel?,Перезапустить Уровень?,Επανεκκίνηση του επιπέδου;,Recommencer le niveau ?,Seviyeyi yeniden başlatmak ister misiniz?,レベルをやり直しますか？,Level neu starten?,Athchuir an Leibhéal?,Перезапустити рівень?,Khởi động lại cấp độ?,Reštartovať Úroveň?,Riavviare il livello?
CONFIRM_RESTART,Confirm restart,Confirmar reinicio,Подтвердить Перезапуск,Επιβεβαίωση επανεκκίνησης,Confirmer la reprise,Yeniden başlatmayı onaylayın,やり直しを確認,Neustart bestätigen,Deimhnigh athchur,Підтвердити перезапуск,Xác nhận khởi động lại,Potvrdiť reštart,Conferma riavvio
EXIT_GAME_CONFIRM,Exit to Desktop?,¿Salir al escritorio?,Выйти на рабочий стол?,Επιστροφή στην επιφάνεια εργασίας;,Retour au bureau ?,Masaüstüne dönmek ister misiniz?,デスクトップに戻りますか？,Zum Desktop zurückkehren?,Scoir go dtí an Deasc?,Вийти на робочий стіл?,Thoát về màn hình nền?,Vrátiť sa na pracovnú plochu?,Uscire al Desktop?
GAME_EXIT,Confirm exit game.,Confirmar salida del juego.,Подтвердить выход из игры,Επιβεβαίωση εξόδου από το παιχνίδι.,Confirmer la sortie du jeu.,Oyundan çıkmayı onaylayın.,ゲーム終了を確認,Beenden bestätigen.,Deimhnigh an cluiche a scor.,Підтвердити вихід з гри.,Xác nhận thoát khỏi trò chơi.,Potvrdiť ukončenie hry,Conferma uscita dal gioco.
SKIP,Skip,Saltar,Пропустить,Παράλειψη,Passer,Atla,スキップ,Überspringen,léim,Пропустити,Bỏ qua,Preskočiť,Salta
FLUTE,Grab Flute,Coge la flauta,Флейта,Πιάσε το φλάουτο,Prends ta flûte,Flüt al,フルートを手に取る,Flöte nehmen,Glac an Fheadóg,Взяти флейту,Lấy sáo,Vziať flautu,Afferra il flauto
PLAYFLUTE,Play Flute,Toca la flauta,Играть на Флейте,Παίξε φλάουτο,Joue de la flûte,Flüt çal,フルートを吹く,Flöte spielen,Seinn an Fheadóg,Грати на флейті,Chơi sáo,Hrať na flautu,Suona il flauto
